590,N,House,Semi-Detached,1965,WM
591,N,House,Detached,1990,NT
592,N,House,Detached,1991,SW
593,N,House,Mid Terraced,1959,WM
594,N,House,Mid Terraced,1790,WM
595,N,House,Detached,1969,WM
596,N,Flat,Unknown,1955,LN
597,N,House,Semi-Detached,1994,OM
598,N,House,Semi-Detached,1950,SW
599,N,House,Mid Terraced,1930,WM
600,N,House,Mid Terraced,1983,EA
601,N,House,Semi-Detached,1970,WM
602,N,House,Semi-Detached,2001,WM
603,N,Unknown,Unknown,1930,WM
604,N,House,Mid Terraced,1985,SW
605,N,House,Mid Terraced,1850,OM
606,N,Flat,Unknown,1996,LN
607,N,House,Semi-Detached,1938,WM
608,N,Flat,Unknown,1999,NT
609,N,House,Semi-Detached,1950,WM
610,N,Maisonette,Unknown,1972,WM
611,N,House,Mid Terraced,1976,WM
612,N,House,Mid Terraced,1930,LN
613,N,House,Mid Terraced,1999,WM
614,N,House,Detached,1902,LN
615,N,House,Mid Terraced,1960,OM
616,N,House,Semi-Detached,1930,OS
617,N,House,Semi-Detached,1960,OM
618,N,House,Semi-Detached,1935,WM
619,N,House,Semi-Detached,1930,NW
620,N,House,Semi-Detached,1960,EM
621,N,Unknown,Unknown,,WM
622,N,House,Semi-Detached,1935,WM
623,N,House,Detached,2000,YH
624,N,Unknown,Unknown,,EM
625,N,House,Mid Terraced,1900,OM
626,N,House,Detached,1999,EM
627,N,House,Semi-Detached,1920,EM
628,N,House,Semi-Detached,1999,YH
629,N,House,Semi-Detached,1870,LN
630,N,House,Mid Terraced,1900,NT
631,N,House,Detached,1995,OS
632,N,House,Semi-Detached,1959,SW
633,N,Flat,Unknown,2003,WM
634,N,House,Mid Terraced,1900,NW
635,N,Unknown,Unknown,,OS
636,N,House,Mid Terraced,1930,WM
637,N,Unknown,Unknown,1937,WM
638,N,Unknown,Unknown,1922,WM
639,N,Flat,Unknown,2003,EM
640,N,House,Detached,1935,WM
641,N,Unknown,Unknown,1930,WM
642,N,Flat,Unknown,2003,WM
643,N,Flat,Unknown,1895,LN
644,N,House,Detached,1988,NW
645,N,House,Semi-Detached,1965,WM
646,N,House,Detached,2003,NT
647,N,House,Detached,1998,YH
648,N,House,Detached,1990,SW
649,N,House,Detached,1970,EM
650,N,House,Semi-Detached,1935,NT
651,N,House,Detached,1970,WM
652,N,House,Detached,1937,OM
653,N,House,Mid Terraced,1997,NW
654,N,House,Mid Terraced,1900,EM
655,N,House,Mid Terraced,1930,LN
656,N,House,Mid Terraced,1900,OS
657,N,House,Semi-Detached,1935,NW
658,N,House,Detached,1945,OM
659,N,House,Mid Terraced,1890,SW
660,N,House,Semi-Detached,1800,WM
661,N,Flat,Unknown,1880,LN
662,N,House,Mid Terraced,1898,WM
663,N,House,Semi-Detached,1935,WM
664,N,Unknown,Unknown,1948,WM
665,N,House,Semi-Detached,,WM
666,N,House,Mid Terraced,1900,OM
667,N,House,Semi-Detached,1935,NW
668,N,House,Semi-Detached,1948,NT
669,N,House,Mid Terraced,,WM
670,N,Unknown,Unknown,,OM
671,N,House,Semi-Detached,1940,EA
